127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers6.png, HTTP/1.1, 200, 0.001253
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers7.png, HTTP/1.1, 200, 0.002769
127.0.0.1, 2013-05-25 15:14:14, GET, /examples/static/images/Stickers8.png, HTTP/1.1, 200, 0.002172
127.0.0.1, 2013-05-25 15:14:18, GET, /examples/default/documentation, HTTP/1.1, 200, 0.305508
127.0.0.1, 2013-05-25 15:14:19, GET, /examples/default/support, HTTP/1.1, 200, 0.037752
127.0.0.1, 2013-05-25 15:14:20, GET, /examples/default/who, HTTP/1.1, 200, 0.035701
127.0.0.1, 2013-05-25 15:14:22, GET, /examples/default/index, HTTP/1.1, 200, 0.212305
127.0.0.1, 2013-05-25 15:14:24, GET, /, HTTP/1.1, 303, 0.001668
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.107699
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001624
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001630
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001135
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002124
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001133
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001428
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002578
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005245
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000944
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001006
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000604
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000513
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000884
127.0.0.1, 2013-05-25 15:14:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000501
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/default/index, HTTP/1.1, 303, 0.005342
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/default/site, HTTP/1.1, 200, 0.043914
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002990
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.004366
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001175
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.005704
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.002894
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.002475
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001006
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002126
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001479
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002578
127.0.0.1, 2013-05-25 15:14:37, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.005874
127.0.0.1, 2013-05-25 15:14:38, GET, /admin/static/images/questions.png, HTTP/1.1, 304, 0.002892
127.0.0.1, 2013-05-25 15:14:38, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 304, 0.000869
127.0.0.1, 2013-05-25 15:14:38, GET, /admin/static/images/folder.png, HTTP/1.1, 304, 0.001534
127.0.0.1, 2013-05-25 15:14:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000274
127.0.0.1, 2013-05-25 15:14:38, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.454241
127.0.0.1, 2013-05-25 15:14:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.090834
127.0.0.1, 2013-05-25 15:14:45, GET, /admin/default/site, HTTP/1.1, 200, 0.047980
127.0.0.1, 2013-05-25 15:14:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2013-05-25 15:14:46, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.491858
127.0.0.1, 2013-05-25 15:14:48, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.112159
127.0.0.1, 2013-05-25 15:14:48, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 304, 0.001666
127.0.0.1, 2013-05-25 15:14:48, GET, /admin/static/images/search.png, HTTP/1.1, 304, 0.000806
127.0.0.1, 2013-05-25 15:14:48, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.002672
127.0.0.1, 2013-05-25 15:14:48, GET, /admin/static/images/test_icon.png, HTTP/1.1, 304, 0.001587
127.0.0.1, 2013-05-25 15:14:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001094
127.0.0.1, 2013-05-25 15:14:50, GET, /admin/default/peek/welcome/models/db.py, HTTP/1.1, 200, 0.035287
127.0.0.1, 2013-05-25 15:14:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000295
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.206263
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.004499
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.003682
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.002550
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.003141
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.008051
127.0.0.1, 2013-05-25 15:15:50, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001186
